"rank","Player","GP","tau","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
1,"LE Plunkett",50,3.91716452192203,3.70386351869604,4.13870626772802,2,1,14.025,13.025,0.318,0.995
2,"JR Hazlewood",33,3.88212944982714,3.53686225780219,4.21296100601626,3,1,54.025,53.025,0.313,0.927
3,"TA Boult",50,3.82082846414443,3.58734753487009,4.05022810979064,5,1,33.025,32.025,0.097,0.95
4,"AD Russell",47,3.75995559116966,3.56715029798974,3.98078209376905,9,1,38.025,37.025,0.036,0.904
5,"TG Southee",95,3.75549806108829,3.58761802741175,3.92645830626048,9,2,33.025,31.025,0.003,0.924
6,"Imad Wasim",40,3.7391562548807,3.55281253623195,3.94108097886065,10,2,46.05,44.05,0.016,0.875
7,"Mohammad Naveed",32,3.73205287953069,3.52566261997822,3.95404694251279,11,2,55.05,53.05,0.02,0.824
8,"Hasan Ali",39,3.71990765111699,3.5109703206877,3.93364889462259,12,2,59,57,0.011,0.798
9,"C Sharma",34,3.71799504481186,3.48622289912277,3.95576044811793,12,2,68.025,66.025,0.011,0.775
10,"SMSM Senanayake",33,3.71059657999098,3.48547708504392,3.96363410476769,13,2,76.025,74.025,0.02,0.737
11,"DNT Zoysa",43,3.69449889800371,3.47237057774753,3.91136413421869,15,2,78.0749999999999,76.0749999999999,0.011,0.729
12,"DJ Willey",46,3.67013205441129,3.46804566183942,3.88106375057414,19,3,84.025,81.025,0.002,0.662
13,"Shaheen Shah Afridi",36,3.66401237691174,3.41524551933237,3.96166866047987,20,2,115,113,0.023,0.605
14,"MR Adair",39,3.65971812802315,3.44390269731149,3.87091017848355,21,3,94.025,91.025,0.008,0.607
15,"NM Hauritz",31,3.6460820831688,3.41820441950559,3.91087928994257,23.5,2,107,105,0.007,0.531
16,"AU Rashid",83,3.62733313337161,3.45389787090702,3.81242396742169,26,5,82.025,77.025,0,0.491
17,"M Muralidaran",150,3.62683218772657,3.47085428836506,3.78667946501374,26,7,75,68,0,0.496
18,"L Ronchi",67,3.61814819716984,3.40224197157662,3.89918480041707,31,3,115,112,0.005,0.419
19,"Iftikhar Anjum",32,3.59905971271235,3.34957220181576,3.8624787019326,31,4,157.025,153.025,0.005,0.411
20,"KM Jadhav",51,3.59871415325041,3.40343650992796,3.8062625020182,33,6,118.1,112.1,0.001,0.366
21,"GJ Maxwell",136,3.58719874253255,3.4544367115396,3.72142388952186,35,12,87,75,0,0.266
22,"MA Leask",72,3.58561698919485,3.42213877303322,3.75155460054665,35,9,104,95,0.001,0.291
23,"BAW Mendis",40,3.5830198660332,3.31130080546405,3.82813704422583,36,5,182.175,177.175,0.002,0.378
24,"Mohammed Shami",49,3.57515386527008,3.34311259231606,3.80368075176892,39,5,161.025,156.025,0,0.322
25,"MG Johnson",90,3.57489393647982,3.40840762770834,3.74234707774609,38,11,122,111,0,0.3
26,"Shahid Afridi",367,3.57357089629484,3.46309350336837,3.68467595370657,39,14,85.025,71.025,0,0.18
27,"DT Johnston",53,3.57329505511041,3.36100570022246,3.82875131631921,41,5,149.05,144.05,0.003,0.297
28,"CA Walsh",77,3.57168500429845,3.37910426066807,3.796512460079,40,7,133,126,0,0.285
29,"C Pringle",39,3.56887353949355,3.32431626935374,3.84122143869569,40.5,5,175.025,170.025,0.003,0.327
30,"C de Grandhomme",35,3.56445791654375,3.35242931623359,3.81986329938772,44,6,151,145,0.001,0.264
31,"AR Nurse",38,3.55291159190096,3.34975996199399,3.75412852511539,46,9,145.05,136.05,0,0.224
32,"SE Bond",39,3.55257109977451,3.32536713936548,3.7909736368242,45,6,182.05,176.05,0,0.256
33,"Mujeeb Ur Rahman",37,3.54914194675287,3.25856911586666,3.83602164565993,47,5,221.025,216.025,0.001,0.277
34,"AR Adams",33,3.54674879949067,3.32446483756825,3.77333654446337,48,8,173.05,165.05,0,0.227
35,"CC Lewis",40,3.53903358260242,3.31948469833241,3.79979872907743,53,7.975,177,169.025,0.004,0.222
36,"Aaqib Javed",49,3.53465937682523,3.27460943264405,3.80220416981078,52,5,213.05,208.05,0.004,0.251
37,"B Lee",105,3.53244962425664,3.37673248485131,3.69969791730701,54,15.975,129.1,113.125,0,0.119
38,"Dawlat Zadran",53,3.53202326395355,3.32210846449582,3.77589410510748,54,8,181.025,173.025,0,0.181
39,"BL Cairns",65,3.53167368444944,3.33818749564925,3.74317289171324,55,11,159.05,148.05,0.001,0.149
40,"SM Sharif",57,3.53032975412898,3.33871468624315,3.71590618651397,53,12.975,166.025,153.05,0,0.161
41,"SN Netravalkar",33,3.52974283790594,3.21827365820378,3.8050665501923,53,6,261.1,255.1,0.001,0.264
42,"MJ Henry",37,3.5254114203359,3.27982569117522,3.76721166818608,55,8,211.025,203.025,0,0.199
43,"TT Bresnan",63,3.52068156333281,3.33742371972972,3.71360410951634,59,13,159,146,0,0.132
44,"AR Caddick",38,3.51735671426402,3.27425212781687,3.80686721471778,61,5,208.2,203.2,0.005,0.187
45,"IDS Smith",77,3.5149525667671,3.36755269222284,3.66896275946917,61,19,140,121,0,0.072
46,"HH Pandya",68,3.51434919551279,3.37488235612458,3.66610542097037,59,19,137.025,118.025,0,0.073
47,"MA Starc",70,3.51285074218642,3.30983703981701,3.73771182287046,62,12.975,182.05,169.075,0,0.122
48,"PL Taylor",47,3.51109042956623,3.26521981289804,3.78627431808001,61,7,221.05,214.05,0.002,0.191
49,"JA Morkel",43,3.50876063745149,3.33195114050184,3.70250347600355,64,14,167,153,0,0.102
50,"EJ Chatfield",43,3.50750264082669,3.19046905356425,3.85208839701641,66,4,289.15,285.15,0.004,0.241
51,"J Botha",50,3.5007326006799,3.31905157740461,3.68438436631078,66,17,176.025,159.025,0,0.091
52,"CJ McDermott",75,3.49866925675392,3.30252873748127,3.67886182949406,66,17,191.025,174.025,0,0.076
53,"SM Pollock",202,3.49804161890408,3.36466719916612,3.63509414639389,66,24.975,146,121.025,0,0.03
54,"RM Hogg",34,3.49532218267033,3.2122381319394,3.79661464266785,68,8,273.075,265.075,0.002,0.178
55,"F Behardien",49,3.49310022817032,3.31702086776796,3.69029613543002,72,17,176,159,0,0.074
56,"AC Cummins",47,3.49279160032175,3.30627536283016,3.68498995628524,70,16,190,174,0,0.084
57,"BB McCullum",226,3.4869896271731,3.35395242298735,3.63013999755249,73,25.975,146.025,120.05,0,0.025
58,"MJ Santner",89,3.48681221697757,3.32528006561748,3.6456441628693,72,22,177.025,155.025,0,0.046
59,"RJ Ratnayake",54,3.48288475912795,3.29007560639975,3.69480117961424,74,15,205.075,190.075,0,0.089
60,"Shoaib Akhtar",77,3.4821445769359,3.26643269834446,3.69803810925279,72,16,222.075,206.075,0,0.076
61,"M Ntini",42,3.48073346701157,3.23150046952288,3.74340658431916,76,9,250.075,241.075,0.001,0.113
62,"SL Malinga",113,3.47569330497144,3.30713406792724,3.64813000358074,78,22,185.025,163.025,0,0.04
63,"GB Hogg",61,3.47327905775702,3.25593224696681,3.70653253008905,78,14,221.05,207.05,0.001,0.079
64,"Gulsan Jha",32,3.47165045865146,3.14415712596244,3.96754177425403,97.5,2,338.025,336.025,0.023,0.213
65,"AM Blignaut",41,3.47132119329765,3.26536102696844,3.67326448389326,80,18,220.075,202.075,0,0.067
66,"L Klusener",137,3.47075470866114,3.32936785341818,3.62885281802006,79.5,27,170,143,0,0.019
67,"AB de Villiers",218,3.46807451163658,3.3378838250317,3.60531562885982,82.5,33,155,122,0,0.006
68,"GP Swann",48,3.46755980301778,3.28929876742236,3.65574010841913,83,20,207.025,187.025,0,0.041
69,"TM Head",76,3.46564891942114,3.30815326975665,3.64600512998945,83,22.975,189.025,166.05,0,0.032
70,"SP Narine",42,3.46391532262383,3.2451082879614,3.68874934878958,86.5,15.975,238.05,222.075,0,0.08
71,"ALF de Mel",41,3.46352858318175,3.21665038188599,3.72315123373197,87,12,262,250,0,0.097
72,"DR Tuffey",46,3.46197896170251,3.22083628221619,3.68912237780815,84,15,263,248,0,0.079
73,"AR Patel",49,3.46194226925149,3.2780740303564,3.68475618381175,88,16,209.025,193.025,0,0.046
74,"Sohail Tanvir",38,3.45917928385136,3.24078312107537,3.66091374847062,85,19,239.05,220.05,0,0.054
75,"KD Mills",97,3.45641756518005,3.29750164062074,3.6232584957104,88,29,190,161,0,0.019
76,"Abdul Razzaq",227,3.45457322884732,3.31851782415912,3.60591027681502,89,32,176,144,0,0.01
77,"DA Miller",152,3.45351226190703,3.3167832476726,3.58221419228493,88,38,179,141,0,0.005
78,"Abdul Qadir",67,3.45285110981928,3.27826925758028,3.63463738932126,90,23,204.05,181.05,0,0.035
79,"AS Joseph",46,3.44665854421463,3.23254243950995,3.65871581671716,91,20,247,227,0,0.04
80,"EA Brandes",40,3.44603717767912,3.21936398760993,3.66034142826088,92.5,20.975,268.025,247.05,0,0.047
81,"SO Hetmyer",52,3.44557617124382,3.25862454019129,3.66499489288501,93,20,227.075,207.075,0,0.038
82,"SM Ervine",33,3.44269798887474,3.20128706873249,3.7429926560608,101.5,9,279.05,270.05,0.002,0.099
83,"Abdur Razzak",95,3.44023457910366,3.27776218514724,3.62202474723763,101,28,212.025,184.025,0,0.021
84,"DJG Sammy",103,3.43938023317545,3.29425685890387,3.58432910298082,96,36,197,161,0,0.01
85,"GD Phillips",36,3.43804085757999,3.24546844700217,3.63916602601673,98,24,243.05,219.05,0,0.029
86,"Karan KC",45,3.43620442883803,3.24376439123856,3.63759046659511,100.5,24,238.1,214.1,0,0.029
87,"SA Yadav",35,3.43440237916221,3.2170708429307,3.68301537564241,104,18,262,244,0,0.049
88,"AL Phehlukwayo",55,3.43087824318732,3.25484062991775,3.60375817383752,103,32,235.025,203.025,0,0.008
89,"J Srinath",117,3.43054256061309,3.28554452958684,3.57542536099742,103.5,37.975,203,165.025,0,0.009
90,"Imran Tahir",32,3.42942313894563,3.11197781065656,3.78368923954362,110.5,7,379,372,0.006,0.138
91,"PW Hasaranga",54,3.42908811487708,3.27189764519182,3.62105371273709,105,27,221,194,0,0.023
92,"AB Agarkar",113,3.42905544682908,3.25574963764769,3.6126454173141,104,31,231.025,200.025,0,0.017
93,"CJ Anderson",44,3.42742021218389,3.25938611007198,3.61888701333144,106,29,229.025,200.025,0,0.019
94,"DK Morrison",40,3.42310866096747,3.03779329730773,3.89546377881801,117.5,3,450.1,447.1,0.009,0.173
95,"S Lee",35,3.42221154829316,3.20769036253811,3.65189825460003,109,20,278.025,258.025,0,0.046
96,"BKV Prasad",56,3.42002343907874,3.1918903407108,3.66912426388154,108,21,289.1,268.1,0,0.043
