"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
1,"V Kohli",294,4.13499821136979,3.94336478122278,4.35087302718166,6,1,29,28,0.075,0.955
2,"DJ Malan",31,4.09740341580432,3.69066646654599,4.5439574541533,9,1,133.025,132.025,0.169,0.73
3,"RN ten Doeschate",32,4.09594063681,3.71859177864112,4.51056597119893,8,1,116,115,0.148,0.747
4,"AB de Villiers",232,4.09187345288134,3.88609736318173,4.33947459988346,9,1,44.025,43.025,0.051,0.872
5,"Babar Azam",131,4.02742649146788,3.81165449377232,4.26065265720007,15,2,71,69,0.018,0.731
6,"RG Sharma",293,4.01706446540048,3.82089234683617,4.21536160784535,17,3,65.025,62.025,0.004,0.719
7,"MG Bevan",196,4.00696497960445,3.80178979602978,4.22400045771563,18,2,75.0749999999999,73.0749999999999,0.013,0.66
8,"JH Kallis",315,3.99481480009387,3.76042850758911,4.24980473867124,20,2,95.025,93.025,0.015,0.599
9,"MEK Hussey",157,3.99279427674884,3.72515243475491,4.31643207583,22,1,111.05,110.05,0.028,0.561
10,"KS Williamson",167,3.9845518429719,3.76887677288073,4.21321813900766,21,3,87.05,84.05,0.007,0.588
11,"LRPL Taylor",220,3.96900550567648,3.77049530124705,4.17748862247525,24,3,90,87,0.003,0.534
12,"MS Dhoni",298,3.96859633408823,3.78940980971477,4.14909034916363,24,5,78,73,0,0.526
13,"CG Greenidge",173,3.96475807926862,3.72995313415914,4.23365382177081,26,2,116,114,0.013,0.491
14,"SR Tendulkar",544,3.94262128524755,3.7713431424874,4.12136083671247,30,6,91,85,0,0.41
15,"Zaheer Abbas",60,3.93752433261046,3.631103967982,4.26957284029529,31,2,177.025,175.025,0.015,0.435
16,"Ibrahim Zadran",43,3.93732224164625,3.57847251706729,4.30343715242731,31,2,214,212,0.022,0.446
17,"Mohammad Nadeem",36,3.92855044756684,3.45770603729354,4.43951959670069,34.5,1,310.025,309.025,0.08,0.441
18,"KL Rahul",90,3.91948262890616,3.6561688001295,4.22039477385109,36,3,165.075,162.075,0.01,0.367
19,"SD Hope",151,3.91591611887332,3.70255259950744,4.13573806777752,35,6,132.025,126.025,0.002,0.334
20,"Misbah-ul-Haq",146,3.91208743315423,3.68004690056829,4.18441789719817,39,4,144.025,140.025,0.005,0.346
21,"CH Lloyd",69,3.90939677045255,3.58444854551527,4.27991208316365,39,2,216.025,214.025,0.018,0.376
22,"IVA Richards",167,3.90717432872598,3.67100379246636,4.17238799309696,40,4.975,147.025,142.05,0.004,0.327
23,"HE van der Dussen",65,3.88713329833272,3.5689574068179,4.22931016920006,43.5,3,219.025,216.025,0.011,0.324
24,"AT Rayudu",50,3.88518236140001,3.5460181958478,4.24341897001811,46,2,242.025,240.025,0.01,0.314
25,"DJ Mitchell",50,3.8746132920451,3.55777412656734,4.20189471006896,48,3,231,228,0.009,0.298
26,"SS Iyer",67,3.86958410813876,3.58621362985561,4.15406989245955,49,5,202.275,197.275,0.005,0.262
27,"Shubman Gill",61,3.86866365885726,3.48611569563207,4.27536026192925,51,2,298.15,296.15,0.013,0.319
28,"KC Sangakkara",381,3.86747243583276,3.68523543156093,4.05061331359473,50,13.975,141.025,127.05,0,0.135
29,"SPD Smith",154,3.85626155971291,3.6387588233647,4.07652800909277,53,9,168,159,0,0.173
30,"L Klusener",138,3.85362235943034,3.58722194172247,4.13179873105128,54,7,206.1,199.1,0,0.212
31,"BC Lara",306,3.8505483123482,3.67031294405578,4.02744692664132,55,15,153,138,0,0.11
32,"HM Amla",209,3.84783605448108,3.64412219346121,4.06528673697505,57,11,163.05,152.05,0,0.14
33,"IJL Trott",66,3.84741148692944,3.54183028044172,4.15150364339374,59,5,241.025,236.025,0.004,0.228
34,"Azmatullah Omarzai",34,3.84645055490795,3.46066165863319,4.24834209178172,57,2,305.05,303.05,0.016,0.27
35,"TM Head",83,3.83832491997923,3.55922631864871,4.15527515270858,62.5,5,226.025,221.025,0.003,0.21
36,"F du Plessis",136,3.83637165830407,3.6079352439862,4.08188241960304,60,9.975,193,183.025,0.002,0.136
37,"KJ Coetzer",126,3.82545583531914,3.55377795732315,4.12849530423121,67,6,231.025,225.025,0.004,0.159
38,"A Jadeja",190,3.82261092303954,3.55191689007659,4.14237134811012,73,6,238.1,232.1,0.002,0.183
39,"HT Tector",49,3.82229332294459,3.48107201461561,4.18719674251712,68,4,291,287,0.006,0.219
40,"JJ Roy",125,3.82199953130477,3.54647621775333,4.10302133530303,68,7,247.05,240.05,0.002,0.159
41,"KIC Asalanka",70,3.820974101275,3.53906175283677,4.10777047509639,68,7,239.225,232.225,0.001,0.161
42,"S Dhawan",196,3.8205998786332,3.60836048375223,4.04514754384308,68,13.975,195.025,181.05,0,0.1
43,"TLW Cooper",31,3.82054585770716,3.49966902676064,4.21351950022927,71,3,282.05,279.05,0.014,0.205
44,"JM Bairstow",111,3.82050782202032,3.49969337105234,4.16478207682102,66.5,4,280.05,276.05,0.005,0.207
45,"MJ Clarke",227,3.8188086978809,3.62171838258518,4.01941360802732,68,16,189.025,173.025,0,0.076
46,"KM Jadhav",51,3.81750420737786,3.45076529543108,4.22527694463731,72,3,315.025,312.025,0.016,0.22
47,"RT Ponting",365,3.81368828024758,3.65291512654499,3.98221118974184,70.5,22,164,142,0,0.042
48,"BM Duckett",32,3.81287730515767,3.46791766466075,4.19267725028629,73,3.975,303.05,299.075,0.008,0.221
49,"ML Hayden",187,3.81191582193911,3.58858459543271,4.03559310233513,72,13,203.025,190.025,0,0.101
50,"A Ranatunga",254,3.80610969394111,3.56598557851036,4.06144997164068,74.5,11,231.025,220.025,0.001,0.109
51,"AD Mathews",194,3.80480353254356,3.59776690648219,4.01445548664079,74,15.975,194.075,178.1,0,0.063
52,"Q de Kock",183,3.80415125535138,3.60329101437615,4.00078250230181,74,17,195.05,178.05,0,0.064
53,"T Bavuma",53,3.8027163930248,3.49904711974508,4.14882333118339,76.5,4,279.025,275.025,0.004,0.158
54,"SR Watson",185,3.80267969582743,3.59572789278587,4.02246248721368,75.5,17,204,187,0,0.072
55,"GM Turner",54,3.80243767060111,3.44549757145879,4.20002667922996,79,4,316,312,0.003,0.191
56,"KP Pietersen",128,3.802160501654,3.57245845414957,4.04667980829301,76,13,221.05,208.05,0,0.081
57,"Fakhar Zaman",104,3.79950146958857,3.51722843527931,4.08766182414789,79,9.975,263.1,253.125,0.002,0.132
58,"DA Warner",175,3.79679279127361,3.57874965569449,4.02701127707372,80,14,203.025,189.025,0,0.072
59,"DA Miller",152,3.79663424911266,3.57036379975435,4.04583906750064,81,13,224.025,211.025,0,0.104
60,"RR Sarwan",168,3.79481353653594,3.59099245465544,4.00529816350549,80.5,16,203.025,187.025,0,0.069
61,"AJ Lamb",118,3.79438189141164,3.53806222220842,4.06309803311348,82,11,246.05,235.05,0.001,0.111
62,"JE Root",176,3.7887995427916,3.51169304814868,4.05487463287973,84,10.975,267.075,256.1,0.001,0.116
63,"A Bagai",60,3.78725600114144,3.4375578517339,4.16206959088331,85,5,337.025,332.025,0.005,0.192
64,"DP Conway",38,3.78701677766776,3.44264918209181,4.2061556904681,85,4,324.05,320.05,0.008,0.185
65,"BA Stokes",99,3.78624908191147,3.52163199141134,4.08138498276707,86,9.975,259.025,249.05,0.002,0.107
66,"B McMullen",33,3.78560768586157,3.40445993538033,4.19114051214003,85.5,3,356,353,0.009,0.191
67,"Mohammad Yousuf",273,3.78408416961264,3.61512279015071,3.96440986421989,84,24.975,192,167.025,0,0.026
68,"UT Khawaja",39,3.78288174227054,3.42425451195665,4.15263087460268,85,6,334.075,328.075,0.004,0.164
69,"S Chanderpaul",273,3.78218625306897,3.60717741170085,3.99404169493235,86,20.975,194.025,173.05,0,0.041
70,"SR Mukkamalla",35,3.77887898599997,3.34059861525035,4.29707401588129,92.5,2,403.1,401.1,0.02,0.214
71,"Tamim Iqbal",295,3.77844240999286,3.57636067430868,3.98503204780398,85,21,213.025,192.025,0,0.043
72,"Aqib Ilyas",30,3.7746138269725,3.45678664045232,4.13502313571054,95,6,316.025,310.025,0.005,0.164
73,"Mahmudullah",209,3.7730566926389,3.57994309062354,3.99788946083712,90,19,217,198,0,0.047
74,"CH Gayle",391,3.77216639398374,3.58105214709635,3.96922099852924,91,24,217,193,0,0.03
75,"KU Carty",40,3.77181774271084,3.43371781564146,4.1148591100187,89,7,327,320,0.003,0.125
76,"Salman Butt",91,3.76976554810871,3.46709900670977,4.09053312074746,92,9,299.175,290.175,0.003,0.112
77,"A Symonds",162,3.76392641622838,3.56321881593457,3.97906541853712,95,23,230,207,0,0.034
78,"MJ Guptill",223,3.75916387646578,3.56892092642043,3.97276873330441,98,22,227,205,0,0.032
